"","p0hat.SP","Sensitivity","Specificity","t"
"1",0.817427949406323,1,0.946808510638298,0.495999999984633
"2",0.889180726439496,1,0.938775510204082,0.620999999984633
"3",0.790976630878326,1,0.978723404255319,0.45499999995809
"4",0.551945392224366,1,0.782608695652174,9.04899999999907
"5",0.55145397081803,1,0.826086956521739,8.82099999999627
"6",0.727549141284638,1,0.956989247311828,0.570000000006985
"7",0.635413096527631,1,0.860215053763441,1.42600000003586
"8",0.740149811933476,1,0.91578947368421,1.20900000003166
"9",0.625063424651829,1,0.757894736842105,7.11100000003353
"10",0.802697919664932,1,0.978947368421053,0.588999999978114
"11",0.788697687381529,1,0.865979381443299,3.83899999997811
"12",0.871137367478471,1,0.978494623655914,0.35999999998603
"13",0.839007193231269,1,0.978494623655914,0.866000000038184
"14",0.697164348012146,1,0.897959183673469,2.00200000003679
"15",0.414192075921805,1,0.51063829787234,15.0630000000237
"16",0.31484139262798,1,0.288659793814433,7.31500000000233
"17",0.894353287714475,1,0.978494623655914,2.18699999997625
"18",0.854128164595883,1,0.978260869565217,2.06699999998091
"19",0.377278159759537,1,0.43298969072165,12.1509999999544
"20",0.656341282452148,1,0.926315789473684,11.7519999999786
"21",0.623655730549279,1,0.683673469387755,3.90199999994365
"22",0.500605159734162,1,0.645833333333333,9.7960000000312
"23",0.822162555925253,1,0.978947368421053,1.84200000000419
"24",0.347163912940074,1,0.397849462365591,6.63099999999395
"25",0.831168838356761,1,0.957446808510638,1.25299999996787
"26",0.884453345929455,1,1,0.547000000020489
"27",0.335568482740059,1,0.597938144329897,9.27899999998044
"28",0.454280735025353,1,0.597938144329897,4.625
"29",0.880294466854966,1,1,1.15599999995902
"30",0.867293142693167,1,0.989247311827957,1.1359999999986
"31",0.387301060960862,1,0.648936170212766,7.73300000000745
"32",0.56065096210894,1,0.734042553191489,6.14899999997579
"33",0.478053385482657,1,0.762886597938144,7.03700000001118
"34",0.810766833548669,1,0.98936170212766,0.934000000008382
"35",0.65736467831814,1,0.852631578947368,1.74099999997998
"36",0.239381465737232,1,0.445652173913043,11.6059999999707
"37",0.677073136548912,1,0.936842105263158,2.03799999994226
"38",0.368148834224828,1,0.559139784946237,4.84299999999348
"39",0.572024435613764,1,0.785714285714286,17.2839999999851
"40",0.558367574649649,1,0.810526315789474,7.69500000000698
"41",0.749186664635359,1,0.967032967032967,0.816999999980908
"42",0.511831441280482,1,0.769230769230769,6.27499999996508
"43",0.855547613026038,1,0.978947368421053,1.43300000001909
"44",0.61824042325365,1,0.873684210526316,9.95199999999022
"45",0.712684393571921,1,0.947916666666667,7.10800000000745
"46",0.729862775377863,1,0.905263157894737,4.16899999999441
"47",0.658652997274408,1,0.817204301075269,6.42600000003586
"48",0.868702428987261,1,0.978947368421053,1.37599999998929
"49",0.756473975382587,0.846153846153846,0.988505747126437,6.54300000000512
"50",0.613983970590359,1,0.741935483870968,5.19600000005448
"51",0.774368973693822,1,0.946808510638298,1.96699999994598
"52",0.81585829545136,1,0.968085106382979,0.688000000023749
"53",0.293523519374867,1,0.793478260869565,13.7189999999828
"54",0.804742969740902,1,0.897959183673469,1.88999999995576
"55",0.600694907220604,1,0.75,4.25299999996787
"56",0.426457025786435,1,0.442105263157895,9.81100000004517
"57",0.869037822611308,1,0.94949494949495,5.34600000001956
"58",0.83465275357849,1,0.914893617021277,0.647999999986496
"59",0.680879573829355,1,0.842105263157895,2.21199999999953
"60",0.849657486517605,1,0.979381443298969,3.28299999999581
"61",0.489597931557288,1,0.622448979591837,4.98099999997066
"62",0.751521700291556,1,0.857142857142857,3.24400000000605
"63",0.940899500015471,1,0.979166666666667,0.207999999984168
"64",0.591694765603646,1,0.979381443298969,0.48499999998603
"65",0.687220771082226,1,0.875,1.19799999997485
"66",0.8754951762841,0.833333333333333,0.98936170212766,0.625
"67",0.516245685887459,0.8,0.873684210526316,14.5550000000512
"68",0.846827288951887,1,0.978947368421053,0.960000000020955
"69",0.697185615240789,1,0.927835051546392,1.45799999998417
"70",0.700526564519057,1,0.878787878787879,6.45000000001164
"71",0.770967905121427,0.857142857142857,0.989247311827957,0.869999999995343
"72",0.637658103993094,1,0.854166666666667,9.70100000000093
"73",0.340064082956523,1,0.575757575757576,11.6879999999655
"74",0.322307476793988,1,0.473118279569892,15.0970000000088
"75",0.932469885010935,1,1,0.521999999997206
"76",0.244217441872597,1,0.387096774193548,16.0719999999856
"77",0.839489955901504,1,0.968421052631579,6.52600000001257
"78",0.784490867218526,1,0.903225806451613,1.56700000003912
"79",0.705166189551528,1,0.852631578947368,13.054999999993
"80",0.735709132033702,1,0.914893617021277,1.93300000001909
"81",0.682124519546695,1,0.863157894736842,0.963000000047032
"82",0.914730010232389,1,0.979166666666667,0.548000000009779
"83",0.858484663226817,1,0.948453608247423,0.802999999956228
"84",0.889897819903621,0.8,0.947368421052632,0.537000000011176
"85",0.485889367209794,1,0.78125,10.6079999999492
"86",0.77049796297799,1,0.956989247311828,1.10999999998603
"87",0.642146887715395,1,0.873684210526316,1.07099999999627
"88",0.835911141094658,1,0.905263157894737,1.83600000001024
"89",0.523235746163003,1,0.688172043010753,7.51199999998789
"90",0.621387494518202,1,0.741935483870968,7.49600000004284
